ucsc_gene	entrez_gene
uc001acd.3	84069
uc001ach.2	84808
uc001acj.4	9636
uc001ack.2	375790
uc001acu.2	54991
uc001acy.2	254173
uc001adc.3	8784
uc001ade.3	7293
uc001adh.4	51150
uc001adk.3	126792
uc001adl.2	388581
uc001ado.3	118424
uc001aeb.2	116983
uc001aed.3	126789
uc001aee.1	54973
uc001aeo.3	80772
uc001aer.4	1855
uc001aew.3	54587
uc001afi.2	81669
uc001afo.4	55052
uc001afs.3	64856
uc001aga.2	55210
uc001agd.3	29101
uc001agg.3	142678
uc001agp.3	8510
uc001agv.1	984
uc001ahg.4	728661
uc001aie.3	65220
uc001aim.1	85452
uc001aip.2	2563
uc001aiq.3	5590
uc001aiy.3	199990
uc001aja.4	6497
uc001ajb.1	79906
uc001aje.2	11079
uc001ajh.3	5192
uc001aji.1	9651
uc001ajm.1	55229
uc001ajn.3	388585
uc001aju.2	127281
uc001ajy.2	79258
uc001ajz.3	140625
uc001akf.3	63976
uc001akg.4	27237
uc001akl.3	1953
uc001akm.3	127262
uc001ako.3	49856
uc001akp.3	7161
uc001akv.2	148870
uc001akw.4	388588
uc001akx.1	57470
uc001aky.2	9731
uc001alc.3	1677
uc001alf.3	339448
uc001aln.3	55966
uc001alq.2	261734
uc001aly.2	8514
uc001amb.2	26038
uc001amd.3	6146
uc001amg.3	388591
uc001amk.3	23463
uc001amp.2	387509
uc001ams.3	11332
uc001amx.3	54626
uc001amy.3	83715
uc001ane.3	8718
uc001ano.1	57449
uc001ans.3	79707
uc001ant.3	80835
uc001anx.3	3104
uc001aoa.3	9903
uc001aob.4	148479
uc001aod.3	90326
uc001aof.2	55735
uc001aoi.3	23261
uc001aol.3	9341
uc001aoo.3	8863
uc001aos.3	10911
uc001aot.3	3604
uc001aox.4	11315
uc001aoz.3	54206
uc001apb.3	50651
uc001apf.3	473
uc001apj.2	2023
uc001apm.3	765
uc001apo.3	6518
uc001apq.1	80045
uc001apt.3	9563
uc001apw.3	84275
uc001aqb.4	5293
uc001aqc.4	644997
uc001aqh.3	22883
uc001aql.1	56998
uc001aqm.3	84328
uc001aqp.3	64802
uc001aqq.3	116362
uc001aqs.4	10277
uc001aqw.4	23095
uc001arc.3	5226
uc001arj.3	1676
uc001arn.3	5195
uc001aro.3	54897
uc001art.3	23435
uc001aru.3	10747
uc001arz.1	6723
uc001asa.3	5394
uc001asd.3	2475
uc001ase.3	10218
uc001asg.3	29914
uc001ash.4	57540
uc001asj.3	26232
uc001asm.3	93611
uc001aso.3	26270
uc001asr.1	374946
uc001asv.3	57085
uc001atc.2	4524
uc001ate.4	1185
uc001ati.3	4878
uc001atj.3	4879
uc001atk.3	90231
uc001atm.3	5351
uc001ato.2	60672
uc001atq.3	943
uc001att.3	7133
uc001atv.3	55187
uc001auc.3	9249
uc001auf.3	343066
uc001auh.3	93190
uc001avb.3	126755
uc001avd.3	10630
uc001avi.3	7799
uc001avm.4	23254
uc001avx.3	55092
uc001awb.2	114827
uc001awh.2	79180
uc001awi.1	11330
uc001awk.3	63036
uc001awl.3	51032
uc001awn.3	842
uc001aws.3	23341
uc001awv.2	79814
uc001awx.2	84301
uc001axb.1	284723
uc001axc.3	388595
uc001axe.1	54751
uc001axk.1	23013
uc001axl.4	7709
uc001axn.3	149563
uc001axo.2	27129
uc001axz.4	348487
uc001aya.2	1969
uc001ayc.1	128272
uc001ayd.3	79363
uc001ayg.3	54455
uc001aym.4	26099
uc001ayn.3	374955
uc001ayq.3	55707
uc001azt.2	9696
uc001azw.3	4237
uc001baa.2	23400
