#hg17.kgXref.kgID	hg17.kgXref.geneSymbol	hg17.knownToLocusLink.value
AB000409	MKNK1	8569
AB000460	AB000460	8603
AB000461	AB000461	8603
AB000463	SH3BP2	6452
AB000781	KNDC1	85442
AB000815	ARNTL	406
AB001025	RYR3	6263
AB001328	AB001328	6564
AB001535	AB001535	7226
AB002292	ARHGEF10	9639
AB002294	ZNF646	9726
AB002311	RAPGEF2	n/a
AB002313	PLXNB2	n/a
AB002315	KIAA0317	9870
AB002331	DATF1	11083
AB002336	AB002336	2036
AB002341	NRCAM	4897
AB002360	AB002360	23263
AB002371	AB002371	80184
AB002372	SNPH	9751
AB002377	ANKRD28	23243
AB002381	AB002381	23522
AB002384	AB002384	9750
AB002454	CYP4F3	4051
AB003177	PSMD9	5715
AB003333	HSPH1	10808
AB004885	TLK1	9874
AB005060	NRG2	9542
AB005298	AB005298	576
AB005543	AB005543	8888
AB006179	HS6ST1	9394
AB006589	ESR2	2100
AB006589	AB006589	2100
AB006621	PTPRT	11122
AB006625	AB006625	5178
AB006626	AB006626	9759
AB006627	AB006627	460
AB006713	AB006713	10570
AB007456	AB007456	11257
AB007457	AB007457	11257
AB007859	AB007859	23140
AB007860	AB007860	8853
AB007870	NUPL1	9818
AB007877	HSPA12A	n/a
AB007878	AB007878	9644
AB007884	AB007884	23229
AB007889	MTSS1	9788
AB007893	AB007893	23262
AB007895	AB007895	80003
AB007896	AB007896	9581
AB007900	SIPA1L1	26037
AB007915	AB007915	9673
AB007917	AB007917	9653
AB007918	AB007918	n/a
AB007921	AB007921	n/a
AB007923	AB007923	9659
AB007924	AB007924	9890
AB007928	AB007928	n/a
AB007929	AB007929	23248
AB007932	AB007932	5362
AB007937	SDC3	9672
AB007938	KLHL21	9903
AB007939	AB007939	9859
AB007940	AB007940	9910
AB007943	AB007943	5909
AB007945	AB007945	n/a
AB008790	AB008790	2886
AB009023	RNGTT	8732
AB009024	RNGTT	8732
AB009357	AB009357	6885
AB009973	PARK2	5071
AB010419	AB010419	863
AB010962	AB010962	8510
AB011094	AB011094	23096
AB011097	AB011097	51752
AB011110	RASA4	29060
AB011125	AB011125	23131
AB011135	AB011135	9884
AB011136	AB011136	23078
AB011154	KIAA0582	23177
AB011155	AB011155	9231
AB011157	AB011157	23210
AB011158	KIAA0586	9786
AB011163	KIF1B	23095
AB011164	AB011164	253725
AB011169	AB011169	10299
AB011172	HDAC5	10014
AB011176	ECE2	9718
AB011180	TBC1D12	n/a
AB011422	AB011422	n/a
AB012143	RNGTT	8732
AB012295	AB012295	5863
AB012610	ITPR2	3709
AB013452	ATP8A1	10396
AB013462	AB013462	51343
AB013897	HKR1	284459
AB014511	AB014511	10079
AB014512	BZRAP1	9256
AB014514	AB014514	n/a
AB014523	AB014523	9706
AB014524	AB014524	23086
AB014534	AB014534	23245
AB014535	AB014535	9662
AB014542	AB014542	26058
AB014552	AB014552	9776
AB014576	AB014576	23061
AB014576	AB014576	23061
AB014585	KIAA0685	9701
AB014590	AB014590	23223
AB014593	AB014593	26039
AB014594	DOCK10	n/a
AB014600	SIN3B	23309
AB014601	AB014601	23074
AB014605	AB014605	9863
AB014610	AB014610	9924
AB014767	AB014767	79783
AB014771	AB014771	n/a
AB014772	AB014772	55206
AB015046	XYLB	9942
AB015317	AP1G1	164
AB015629	AB015629	10332
AB016072	TP73L	8626
AB016073	TP73L	8626
AB016517	FGF5	2250
AB016823	MAPRE2	10982
AB016898	AB016898	n/a
AB016902	AB016902	n/a
AB016929	AB016929	8786
AB017007	AB017007	n/a
AB017133	KIF1B	23095
AB018258	ATP10B	n/a
AB018259	DOCK4	9732
AB018263	AB018263	57449
AB018280	AB018280	9878
AB018290	AB018290	23344
AB018290	AB018290	23344
AB018294	RIMS2	9699
AB018303	ZNF423	23090
AB018304	AB018304	23155
AB018323	AB018323	23081
AB018325	CENTD2	116985
AB018330	AB018330	10645
AB018342	AB018342	4651
AB018344	AB018344	9879
AB018347	AB018347	23355
AB019254	AB019254	6239
AB019254	RREB1	6239
AB019351	RREB1	6239
AB019352	AB019352	6239
AB019489	AB019489	9910
AB019489	AB019489	9910
AB019490	AB019490	9910
AB019491	AB019491	9910
AB019542	CLCN3	1182
AB019692	AB019692	29941
AB020627	DNM3	26052
AB020633	AB020633	n/a
AB020635	AB020635	23382
AB020644	AB020644	23305
AB020650	ABLIM3	22885
AB020653	RASGRP3	25780
AB020674	AB020674	22877
AB020682	AB020682	23014
AB020689	AB020689	23158
AB020696	AB020696	25781
AB020699	AB020699	23383
AB020700	WDR47	22911
AB020701	AB020701	10580
AB020707	WASF3	10810
AB020709	CNKSR2	22866
AB020711	AB020711	51755
AB020713	AB020713	23225
AB020714	AB020714	22889
AB020721	FAM13A1	10144
AB020735	AB020735	9941
AB021124	CHST2	9435
AB021642	ZNF44	51710
AB021643	ZNF12	51711
AB021660	CA5B	11238
AB021923	AB021923	58483
AB022434	SEMA6C	10500
AB022436	AB022436	3093
AB022605	RNMT	8731
AB022658	AB022658	9859
AB023144	SEZ6L	23544
AB023156	SLC9A8	23315
AB023157	AB023157	22849
AB023162	AB023162	22893
AB023174	ANKRD6	22881
AB023181	AB023181	22839
AB023183	AB023183	22876
AB023193	AB023193	22854
AB023202	RPH3A	22895
AB023206	AB023206	51421
AB023209	AB023209	23022
AB023212	PCNX	22990
AB023213	DZIP1	22873
AB023225	KIAA1008	22894
AB023228	AB023228	23224
AB023228	SYNE2	23224
AB023228	SYNE2	23224
AB023231	AB023231	23360
AB023508	AB023508	24150
AB024433	AB024433	91179
AB024691	AB024691	202243
AB024964	AB024964	11317
AB025105	AB025105	999
AB025106	CDH1	999
AB027121	C18orf12	n/a
AB027122	AB027122	n/a
AB027133	GOLGA3	2802
AB027710	RBPSUHL	11317
AB028070	AB028070	10926
AB028911	DFFB	1677
AB028912	DFFB	1677
AB028912	AB028912	1677
AB028913	DFFB	1677
AB028932	AB028932	79813
AB028944	AB028944	23250
AB028949	AB028949	23254
AB028953	AB028953	n/a
AB028963	AB028963	23041
AB028963	AB028963	23041
AB028965	AB028965	22906
AB028966	AB028966	n/a
AB028970	NCOR1	9611
AB028979	ZNF409	n/a
AB028988	EPN2	22905
AB029001	AB029001	23271
AB029012	AB029012	23381
AB029016	TNRC6B	n/a
AB029025	AB029025	22998
AB029032	AB029032	n/a
AB029034	AB029034	23133
AB029035	ARHGEF4	50649
AB029037	TRO	7216
AB029331	AB029331	54535
AB029488	C11orf21	n/a
AB030181	AB030181	51742
AB030239	AB030239	64333
AB030240	EPB41L4A	64097
AB030579	ECEL1	9427
AB031045	AB031045	51174
AB032179	EPB41L4B	54566
AB032179	EPB41L4B	54566
AB032251	AB032251	2186
AB032417	AB032417	8322
AB032592	AB032592	51555
AB032762	SLC4A9	83697
AB032920	MUTYH	4595
AB032921	MUTYH	4595
AB032921	MUTYH	4595
AB032945	AB032945	n/a
AB032945	MYO5B	n/a
AB032951	PRKCBP1	23613
AB032951	PRKCBP1	23613
AB032951	PRKCBP1	23613
AB032951	PRKCBP1	23613
AB032955	KLHL3	26249
AB032956	GALNTL1	n/a
AB032960	COG6	57511
AB032966	TTC7A	57217
AB032979	AB032979	51605
AB032992	AB032992	55906
AB032995	AB032995	53373
AB033012	AB033012	23541
AB033021	AB033021	51725
AB033022	AB033022	57473
AB033034	AB033034	79158
AB033036	AB033036	n/a
AB033043	AB033043	56243
AB033044	AB033044	222255
AB033045	AB033045	57148
AB033045	AB033045	57148
AB033047	AB033047	84146
AB033047	AB033047	84146
AB033052	AB033052	57486
AB033055	AB033055	57489
AB033058	AB033058	1741
AB033061	AB033061	n/a
AB033063	AB033063	n/a
AB033070	AB033070	57221
AB033070	AB033070	57221
AB033076	AB033076	57498
AB033076	AB033076	57498
AB033087	TLE4	7091
AB033089	AB033089	56884
AB033091	AB033091	57181
AB033099	AB033099	83858
AB033132	AB033132	80318
AB033288	SLC26A6	65010
AB033337	AB033337	9585
AB033941	DKK2	27123
AB034747	LITAF	9516
AB035302	CDH9	1007
AB035341	AB035341	27004
AB035481	TNFRSF12A	51330
AB035700	AB035700	51738
AB035727	CACNA1A	773
AB035898	AB035898	56992
AB036063	AB036063	50484
AB036704	AB036704	50940
AB036704	AB036704	50940
AB036829	AB036829	51763
AB036991	AB036991	129831
AB037158	DSCR6	53820
AB037270	RHD	6007
