#hg18.kgXref.kgID	hg18.kgXref.geneSymbol	hg18.knownToLocusLink.value
uc001aaa.2	BC032353	n/a
uc009vip.1	AX748260	n/a
uc009vjg.1	BC048429	n/a
uc001aal.1	OR4F5	79501
uc009vjh.1	OR4F5	79501
uc001aaq.1	DQ599874	n/a
uc001aar.1	DQ599768	n/a
uc001aas.1	DQ574670	n/a
uc001aat.1	DQ596298	n/a
uc001aau.1	DQ599768	n/a
uc009vjk.1	DQ575955	n/a
uc001aav.2	DQ574721	n/a
uc001aaw.1	OR4F16	26683
uc001aax.1	BC036251	n/a
uc009vjl.1	AK026901	n/a
uc001aaz.1	BC018860	n/a
uc001aba.1	X64709	n/a
uc001abb.1	M37726	n/a
uc001abc.1	CR615613	n/a
uc001abr.1	LOC643837	643837
uc001abp.1	LOC643837	643837
uc001abq.1	LOC643837	643837
uc009vjo.1	LOC643837	643837
uc009vjn.1	LOC643837	643837
uc001abs.1	AK091100	n/a
uc001abu.1	AK056486	n/a
uc001abw.1	SAMD11	148398
uc001abx.1	SAMD11	148398
uc001abv.1	SAMD11	148398
uc001aca.1	KLHL17	339451
uc001acc.1	KLHL17	339451
uc001acb.1	KLHL17	339451
uc001acd.1	PLEKHN1	84069
uc001ace.1	PLEKHN1	84069
uc001acf.1	PLEKHN1	84069
uc001acj.2	ISG15	9636
uc001ack.1	AGRN	375790
uc009vjs.1	AK310350	n/a
uc001acl.1	BC033949	n/a
uc001acv.2	BC028014	n/a
uc001acw.1	CS444397	n/a
uc001acz.1	TTLL10	254173
uc001acy.1	TTLL10	254173
uc001adk.1	B3GALT6	126792
uc001adv.1	SCNN1D	6339
uc001adw.1	SCNN1D	6339
uc001adt.1	SCNN1D	6339
uc001adu.1	SCNN1D	6339
uc001adx.2	SCNN1D	6339
uc001aed.1	PUSL1	126789
uc009vjx.1	PUSL1	126789
uc001aeo.1	GLTPD1	80772
uc001aep.1	TAS1R3	83756
uc009vkc.1	BC112999	148413
uc001afn.1	CR595843	148413
uc009vkd.1	BC068600	148413
uc001afm.1	LOC148413	148413
uc001afr.1	VWA1	64856
uc001afs.1	VWA1	64856
uc009vke.1	VWA1	64856
uc001afu.1	ATAD3C	219293
uc001aft.1	ATAD3C	219293
uc001afv.1	ATAD3B	83858
uc001afx.1	ATAD3B	83858
uc001afw.1	ATAD3B	83858
uc001afy.1	ATAD3B	83858
uc001afz.1	ATAD3A	55210
uc001aga.1	ATAD3A	55210
uc001agb.1	ATAD3A	55210
uc001agc.1	AX747755	55210
uc001agf.1	AK094692	n/a
uc001agg.1	MIB2	142678
uc001agh.1	MIB2	142678
uc001agi.1	MIB2	142678
uc001agj.1	DKFZp434A0311	142678
uc001agk.1	MIB2	142678
uc001agm.1	MIB2	142678
uc009vkh.1	MIB2	142678
uc001agn.1	MIB2	142678
uc001agl.1	MIB2	142678
uc001ago.1	DKFZp434A0311	142678
uc001agp.1	MMP23B	8510
uc001agr.1	mifr-1	8510
uc001agq.1	mifr-2	8510
uc009vki.1	mifr-1	8510
uc001ahi.1	MMP21/22B	8511
uc009vko.1	MMP21/22B	8511
uc001ahx.1	AK097814	n/a
uc001aig.1	CR606168	n/a
uc001aih.1	CALML6	163688
uc001aip.2	GABRD	2563
uc001aiq.1	PRKCZ	5590
uc001air.1	PRKCZ	5590
uc001ais.1	PRKCZ	5590
uc009vla.1	PRKCZ	5590
uc001ait.1	PRKCZ	5590
uc009vlb.1	PRKCZ	5590
uc001aiu.1	AX747530	n/a
uc001aiz.1	BC018779	n/a
uc001aja.2	SKI	6497
uc001aje.1	RER1	11079
uc001ajf.1	RER1	11079
uc001aji.1	PLCH2	9651
uc001ajk.1	PLCH2	9651
uc001ajj.1	PLCH2	9651
uc009vle.1	PLCH2	9651
uc001ajl.1	PLCH2	9651
uc001aju.1	C1orf93	127281
uc001ajv.1	C1orf93	127281
uc001ajw.1	C1orf93	127281
uc001ajx.1	C1orf93	127281
uc001ajz.1	ACTRT2	140625
uc001akc.1	PRDM16	63976
uc001akd.1	PRDM16	63976
uc001ake.1	PRDM16	63976
uc001akf.1	PRDM16	63976
uc009vlh.1	KIAA1675	63976
uc001akg.2	ARHGEF16	27237
uc001aki.1	ARHGEF16	27237
uc001akj.1	ARHGEF16	27237
uc009vli.1	ARHGEF16	27237
uc001akm.1	TPRG1L	127262
uc009vlj.1	TPRG1L	127262
uc001akp.2	TP73	7161
uc001akr.2	TP73	7161
uc009vlk.1	TP73	7161
uc001aks.2	TP73	7161
uc001akq.1	TP73	7161
uc009vll.1	AK310432	7161
uc001akv.1	CCDC27	148870
uc001akw.2	LOC388588	388588
uc001alc.1	DFFB	1677
uc001ale.1	CAD	1677
uc009vlp.1	CAD	1677
uc001alb.1	CAD	1677
uc009vlq.1	CAD	1677
uc009vlr.1	DFFB	1677
uc001ald.1	DFFB	1677
uc009vlo.1	DFFB	1677
uc009vln.1	DFFB	1677
uc001ala.1	DFFB	1677
uc001alg.1	BC016994	100133612
uc001alh.2	BC062787	100133612
uc001ali.1	AK124708	n/a
uc001alk.1	BC128214	284661
uc001alj.1	AX748168	284661
uc001all.1	AX748168	284661
uc001alm.1	AJAP1	55966
uc001aln.1	AJAP1	55966
uc001alo.2	BC037321	n/a
uc001alv.1	KCNAB2	8514
uc001alw.1	KCNAB2	8514
uc001alu.2	KCNAB2	8514
uc009vlv.1	KCNAB2	8514
uc001alx.1	KCNAB2	8514
uc001aly.1	KCNAB2	8514
uc009vlw.1	KCNAB2	8514
uc001amg.1	RNF207	388591
uc001amj.1	RNF207	388591
uc001amh.2	RNF207	388591
uc001amf.1	RNF207	388591
uc001amm.2	C1orf211	n/a
uc009vly.1	HES3	390992
uc001amy.1	ESPN	83715
uc001amz.1	ESPN	83715
uc001ant.1	TAS1R1	80835
uc001anu.1	TAS1R1	80835
uc001anv.1	TAS1R1	80835
uc001anw.1	TAS1R1	80835
uc001anx.1	ZBTB48	3104
uc009vmd.1	ZBTB48	3104
uc009vmc.1	ZBTB48	3104
uc001any.1	pp9964	3104
uc001aob.2	PHF13	148479
uc001aoe.1	THAP3	90326
uc001aoc.2	THAP3	90326
uc001aod.2	THAP3	90326
uc001aoi.1	CAMTA1	23261
uc001aok.2	CAMTA1	23261
uc001aoj.1	CAMTA1	23261
uc009vmf.1	MST023	23261
uc001aoh.2	KIAA0833	23261
uc001aol.1	VAMP3	9341
uc001aom.1	VAMP3	9341
uc001aoo.1	PER3	8863
uc001aop.1	PER3	8863
uc009vmg.1	PER3	8863
uc009vmh.1	PER3	8863
uc001aon.2	PER3	8863
uc001aou.2	PARK7	11315
uc001aox.2	PARK7	11315
uc001aov.2	dj-1	11315
uc001aow.2	PARK7	11315
uc001aoy.1	AX747125	11315
uc001apb.1	SLC45A1	50651
uc001apc.1	SLC45A1	50651
uc001apm.1	CA6	765
uc009vmn.1	CA6	765
uc001apt.1	H6PD	9563
uc001apu.1	SPSB1	80176
uc001apv.1	SPSB1	80176
uc001apw.1	SLC25A33	84275
uc001apx.1	SLC25A33	84275
uc001apy.1	TMEM201	199953
uc001apz.1	RP13-15M17.2	199953
uc001aqb.2	PIK3CD	5293
